,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2322,002808,恒久科技,-1.881,12.52,12.71,12.71,12.36,12.76,989100.0,1.1299000000000001,12366789.0,78.742,4.329,240384.0,109598.012948
2323,002807,江阴银行,-1.721,5.14,5.21,5.24,5.08,5.23,3549318.0,0.49408,18289792.0,11.237,0.9500000000000001,908457.610612,369240.255584
2324,002806,华锋股份,-6.322,16.3,17.4,17.45,16.0,17.4,1970850.0,3.41618,32733497.0,77.619,2.387,287269.89926,94037.34875
2325,002805,丰元股份,-2.652,13.95,14.29,14.45,13.77,14.33,687800.0,1.28265,9697898.0,35.769,2.334,135194.751,74804.71275
2326,002803,吉宏股份,3.844,17.83,17.47,18.78,15.66,17.17,15161373.0,19.4289,271484639.0,25.841,3.859,351607.6,139136.659969
2327,002802,洪汇新材,-3.556,19.53,20.35,20.4,19.21,20.25,104200.0,0.26623,2054326.0,29.149,3.56,211607.55,76439.556774
2328,002801,微光股份,-6.474,20.37,21.61,21.62,19.65,21.78,339000.0,1.15149,6978145.0,22.385,2.771,239877.12,59969.28
2329,002800,天顺股份,-3.73,16.0,16.58,16.63,15.55,16.62,363246.0,1.03663,5870289.0,29.091,2.735,119488.0,56065.44
2330,002799,环球印务,-2.483,11.78,12.08,12.3,10.88,12.08,417100.0,0.54257,4965251.0,78.533,3.304,176700.0,90558.75
2331,002798,帝欧家居,-2.806,14.55,14.65,14.94,14.31,14.97,2577491.0,1.63805,37697206.0,23.095,1.811,560793.77658,228946.049835
2332,002797,第一创业,-3.46,5.86,6.03,6.03,5.65,6.07,49951359.0,2.60374,291565917.0,48.833,2.321,2052406.4,1124211.122204
2333,002796,世嘉科技,-0.934,38.2,38.19,38.84,37.4,38.56,678800.0,1.8584100000000001,25806702.0,119.375,3.1,428668.0041,139528.78138
2334,002795,永和智控,-3.607,14.43,14.83,15.03,14.15,14.97,1685611.0,2.6441,24492363.0,49.759,4.5969999999999995,288600.0,91991.25
2335,002793,东音股份,-2.744,10.28,10.56,10.57,10.12,10.57,361500.0,0.5611200000000001,3722563.0,17.724,2.512,205600.0,66228.7458
2336,002792,通宇通讯,1.231,31.24,30.7,31.4,30.06,30.86,1963584.0,2.77679,60508728.0,63.755,3.597,703608.5232,220911.463828
2337,002791,坚朗五金,-1.944,10.59,10.88,10.88,10.47,10.8,487100.0,0.60596,5189929.0,17.949,1.2610000000000001,340510.86,85127.715
2338,002790,瑞尔特,-3.836,10.78,10.92,11.05,10.52,11.21,1813180.0,2.8330900000000003,19619932.0,10.78,1.8559999999999999,275968.0,68992.0
2339,002789,建艺集团,-2.793,15.66,16.05,16.1,15.3,16.11,525570.0,0.8010200000000001,8286929.0,13.858,1.751,216170.64,102749.286186
2340,002788,鹭燕医药,-4.276,12.09,12.53,12.68,12.04,12.63,792658.0,0.7504000000000001,9744494.0,11.853,1.529,232434.1188,127707.894717
2341,002787,华源控股,-0.3,6.64,6.65,6.71,6.48,6.66,1177600.0,0.75858,7800133.0,20.121,1.5230000000000001,208056.85364,103077.306912
2342,002786,银宝山新,-3.842,8.01,7.95,8.15,7.76,8.33,7137923.0,1.87988,56780873.0,47.118,2.74,305373.24,304139.7
2343,002785,万里石,0.333,9.03,8.99,9.45,8.9,9.0,829700.0,0.53624,7519816.0,-301.0,2.763,180600.0,139717.531947
2344,002783,凯龙股份,-5.585,7.1,7.42,7.45,7.0,7.52,3164380.0,1.15242,22713489.0,12.909,1.627,237054.8,194955.78168
2345,002782,可立克,-1.12,12.36,12.5,12.87,11.81,12.5,4800250.0,1.12682,59565713.0,91.691,6.392,526536.0,526536.0
2346,002781,奇信股份,-2.177,15.73,16.21,16.21,15.61,16.08,406600.0,0.19531,6450715.0,23.833,1.846,353925.0,327472.876731
2347,002780,三夫户外,-0.936,12.7,12.65,12.75,12.37,12.82,916403.0,1.13735,11515416.0,-97.692,2.233,142410.0149,102328.26499
2348,002779,中坚科技,-0.495,16.09,16.17,16.38,15.82,16.17,111900.0,0.09448000000000001,1800592.0,89.389,3.334,212388.0,190561.150725
2349,002778,高科石化,-0.624,17.53,17.4,17.58,17.35,17.64,803000.0,1.41505,14003379.0,51.559,2.469,156208.9535,99477.429645
